customer_id,birth_year,gender,income,credit,married,college_degree,region,state,star_rating,review_time,review_title,review_text
1001,1971,Female,73000,742.0826674331115,No,No,South,DC,4,"06 11, 2015",Four Stars,everything's fine
1002,1970,Female,31000,749.3514330872488,Yes,No,West,WA,,,,
1003,1988,Male,35000,542.2398590073082,No,No,South,AR,,,,
1004,1984,Other,64000,573.9357832592098,Yes,Yes,Midwest,MN,,,,
1005,1987,Male,58000,644.2438560744255,No,Yes,West,HI,5,"03 25, 2008",Great Product!!,"I looked all over the Internet to find a non-plastic water bottle.  After reading Readers Digest's recommendations, and narrowing my own choices to two bottles, I read all of the reviews I could find.  I chose the 27 oz. Klean Kanteen, and I'm glad I did.  It's great for working in the garden, going to the gym, sitting at my computer (in fact I'm using it now).  I'm going to get another for work."
1006,1994,Male,164000,553.6188567842469,Yes,Yes,Midwest,MN,2,"06 7, 2013",Not at all flattering on a girl.,"I ordered these sweat pants for my 12-year old daughter to wear for PE class on cool days. They are a very generic (unisex) fit and absolutely unflattering. I realize sweat pants are not generally a fashion statement, but these sagged at the backside unless the waistband was pulled up to her chest. These went straight back to Amazon & we will be ordering a few more pairs of the Soffe Football capris. Much cuter & better fit for girls!"
1007,1968,Male,39000,608.4885904473626,No,No,Midwest,MN,,,,
1008,1994,Male,69000,710.4617470280407,No,No,South,KY,5,"04 20, 2016",Super comfortable mini pack,Super comfortable mini pack. Bought it for hiking..large enough to fit everything scaled down and won't be awkward or heavy.
1009,1958,Male,233000,701.7863726612494,No,No,West,NM,,,,
1010,1994,Female,77000,605.1578693153713,Yes,No,Northeast,VT,5,"10 18, 2015",nice strong enough,Yeah
1011,1972,Male,122000,750.9710030206838,Yes,No,West,CO,,,,
1012,1953,Female,126000,672.5966301863224,Yes,No,South,DC,5,"01 6, 2015",Five Stars,easy setup  works great
1013,1974,Female,197000,680.2117808533875,Yes,Yes,West,UT,,,,
1014,1997,Male,49000,666.0401662,Yes,No,Northeast,PA,,,,
1015,1995,Male,347000,658.3357343914164,No,Yes,West,AZ,,,,
1016,1984,Other,292000,625.7956375368351,Yes,Yes,Northeast,VT,,,,
1017,1997,Male,68000,588.2264025920422,No,Yes,Midwest,IN,,,,
1018,1984,Male,184000,665.9964626517957,No,Yes,Northeast,VT,,,,
1019,1984,Female,60000,758.1732301864548,No,Yes,West,NM,,,,
1020,1972,Male,147000,706.7768163263441,Yes,No,South,LA,,,,
1021,1997,Female,20000,503.09753779294766,No,Yes,West,OR,,,,
1022,1979,Female,155000,804.8961883817952,No,Yes,West,UT,5,"04 22, 2017",Yak Attack is great!,Very simple to use. Nice accessory.
1023,1995,Female,137000,538.9519854,No,Yes,Northeast,MA,4,"09 11, 2014",holds fat-bike tube (4x26) 2 air cartridges and valve connector ...,"holds fat-bike tube (4x26) 2 air cartridges and valve connector.  kind of tight, but for a regular sized mb or road tube, you should have more room.  well made"
1024,1974,Female,285000,685.4142152594012,Yes,Yes,Midwest,OH,,,,
1025,1961,Male,226000,692.1642406567591,Yes,Yes,West,NM,,,,
1026,1999,Male,66000,643.0304206,No,No,South,AL,,,,
1027,1996,Female,69000,692.1433750024748,No,Yes,West,ID,,,,
1028,1980,Female,87000,715.2017768877896,No,No,West,NM,,,,
1029,1986,Female,31000,702.100372,No,Yes,West,AZ,,,,
1030,1969,Female,163000,636.2516229,Yes,Yes,West,MT,,,,
1031,1986,Other,178000,697.6574192975755,No,Yes,Northeast,VT,,,,
1032,1982,Male,52000,642.8872355,No,No,Midwest,SD,4,"09 19, 2017",Great kit with a durable tin,"I'm not a survival expert, which is why I rely on kits like this to put together the items I'll need in case of emergencies. I have never used any of the items included in this kit for emergencies, so their use isn't completely obvious to me--okay, I can figure out how to blow the whistle and wrap myself in the blanket. The small bit of literature included with the kit is appreciated. I'll have to practice using the fire striker and tinder at some point and look up the great uses for the safety pin too. The metal tin is durable enough to protect the contents and still has a little room for some extra items, like a signaling mirror, pills, bandages, etc."
1033,1977,Other,152000,705.6501122781805,Yes,No,West,HI,,,,
1034,1969,Other,189000,607.2661117946833,Yes,Yes,Midwest,IA,5,"12 12, 2013",Worth the money,"I didn't lose 15 pounds in 30 days, but I did lose 7.  Everyone's metabolism is different, so I  will chalk it up to that.  The workouts are very effective and they are so short that I can do them everyday."
1035,1986,Male,93000,778.4301499206553,No,Yes,Midwest,MO,,,,
1036,1978,Female,227000,613.6269137025813,Yes,Yes,Northeast,CT,,,,
1037,1972,Female,195000,732.9886753137276,Yes,No,Northeast,MA,,,,
1038,1970,Female,157000,819.0415036,Yes,Yes,West,UT,,,,
1039,1984,Male,141000,728.2038850313339,Yes,Yes,Northeast,PA,,,,
1040,1993,Female,356000,671.8215327103278,Yes,Yes,Northeast,NY,,,,
1041,1990,Male,69000,627.6436531894012,Yes,Yes,West,MT,,,,
1042,1998,Female,122000,566.7960738446641,No,Yes,West,AK,,,,
1043,1982,Male,38000,734.8787499038076,Yes,Yes,West,OR,5,"06 29, 2016",Great Seat Makes a Great Ride,"<div id=""video-block-R2QYN9R2KAZX6A"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C1OiA902G5S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/81YhGkte%2BYS.png"" class=""video-slate-img-url"">&nbsp;Over the past 10 days, I have used this bike seat to ride my bike on the hills around my city.  I have to say, this bike seat holds up.

I received the version with a red and black color tone.  The black looks black and the red looks vibrant.  No complaints there.  It looks a lot better in person than it does in the photos provided on the product page.

The material of the seat feels well made.  Under, the main body is made completely out of metal.  It feels very sturdy.  On top, I believe the material to be real leather.  I can tell because the holes made in the material to fasten it on underneath the seat looks like genuine leather, not faux leather, otherwise known as pleather.  The material does not feel like it will ever rip.

Some people may wonder why the nose on this bike seat is so long, or why bike seats have noses at all.  This is because it is supposed to help control the bike.  When riding fast, riders may lift off the seat.  Without looking at the seat when sitting back down, the nose can help direct the rider towards the correct seating position.  It is also helpful when getting on the bike for the same reasons.

Riding with this bike seat, I never encountered any pain.  Initially though, I did have to get used to how thin the seat was.

I highly recommend this product.  It is well made and it serves its purpose well.

I have received this item at a reduced price in exchange for my honest and unbiased review."
1044,1968,Female,98000,691.4687086306308,Yes,No,South,AR,,,,
1045,1976,Male,129000,682.3253116311549,Yes,Yes,Northeast,ME,,,,
1046,1987,Other,63000,668.9549283967117,Yes,No,South,AL,4,"05 12, 2016",Four Stars,Light and feels great!!
1047,1969,Male,205000,769.9517084,Yes,Yes,West,HI,,,,
1048,1970,Male,235000,701.5046086,Yes,Yes,Midwest,SD,,,,
1049,1999,Other,88000,630.0376322938858,No,Yes,West,WA,,,,
1050,1983,Other,102000,617.3170701,No,No,West,HI,,,,
1051,1988,Female,44000,630.6106370656569,No,Yes,Northeast,CT,5,"03 17, 2016",Excellent purchase!,Used for skiing and we're comfortable and warm at 10 below!
1052,1971,Male,223000,575.1371462,Yes,Yes,Midwest,WI,4,"10 23, 2016","Work great, we've been using these in our office for ...","Work great, we've been using these in our office for years, more people wanted them! Have held up no issues."
1053,1967,Male,298000,604.7223947731287,No,Yes,South,NC,5,"06 22, 2017",Love!,Small but not too small for a beginner. Looks great on my adjustable platform.
1054,1983,Female,144000,592.9189737772002,No,Yes,West,NV,,,,
1055,1992,Female,23000,729.9634132382167,No,No,West,CA,5,"01 30, 2017",a great light,"love it, very surprising"
1056,1989,Female,131000,730.5024260231182,Yes,Yes,West,WA,,,,
1057,1983,Female,58000,610.5415327403441,No,No,Midwest,SD,,,,
1058,1992,Female,300000,545.4459942243712,No,Yes,Northeast,CT,,,,
1059,1989,Male,161000,687.6411758248896,Yes,Yes,Midwest,IN,,,,
1060,1989,Male,54000,704.5569729872325,No,Yes,Northeast,MA,4,"12 30, 2017",Four Stars,These shoes are small in the width but nice shoes
1061,1998,Male,39000,621.2375402310223,Yes,No,South,DC,,,,
1062,1990,Male,78000,737.7984707456035,No,Yes,Northeast,PA,,,,
1063,1984,Male,218000,674.5839270202174,No,Yes,West,MT,,,,
1064,1970,Other,237000,768.6356839254365,Yes,Yes,Northeast,VT,4,"04 30, 2013",Perfect for strengthening a weak women's hand,"I bought this because I have noticed how weak my hand / grip strength is.  I wasn't sure which tension option to get, but I went with the blue and am happy.  It is the perfect amount of tension for me (woman, 37 years old).  I use it a few times a week and am noticing a difference.  I like being able to use it on individual fingers or all at once.  Also seems made well.  A man would probably want a bit more tension.  However, I have read that for hand strength, more reps at lower tension is better."
1065,1972,Female,127000,597.0809700658573,Yes,Yes,Northeast,RI,5,"08 4, 2016",Five Stars,love them
1066,1972,Female,116000,710.0249237353945,Yes,No,Northeast,NY,4,"11 6, 2017",Four Stars,"Knife is not bad, the sheath could be a lot better. 4 stars cause of the sheath"
1067,1988,Other,272000,545.091443,Yes,No,Northeast,NJ,,,,
1068,1977,Other,188000,591.1788508492663,No,Yes,West,MT,,,,
1069,1979,Other,197000,674.2466729041362,Yes,Yes,South,WV,,,,
1070,1982,Male,200000,710.2664092650336,No,No,Northeast,RI,,,,
1071,1971,Female,94000,721.5991959750847,Yes,Yes,West,HI,,,,
1072,1994,Female,185000,652.8534122411212,No,Yes,West,AK,,,,
1073,1984,Female,46000,639.2311561526228,No,No,South,VA,,,,
1074,1972,Female,147000,724.0946351643569,Yes,Yes,West,NV,,,,
1075,1966,Female,102000,668.6946856530977,Yes,Yes,West,WY,,,,
1076,1984,Female,123000,618.8563838570423,Yes,Yes,West,AZ,,,,
1077,1981,Male,93000,701.8037114028747,No,Yes,West,AZ,5,"06 21, 2015",The non-insulated Podium bottles are the best non-insulated bottles I could find,"I have been a huge fan of the insulated Podium Chill bottles for my road bike, but both sizes are too tall to fit on either 17' frame hybrid on mountain bike.  I was on a search for the largest capacity bottle that would fit the frame.  The non-insulated Podium bottles are the best non-insulated bottles I could find.  They share the ergonomic shape and excellent valve of the insulated bottles.  They have just the right amount of squeezability to get the water out without over squirting and the valve is amazing.  While being easy to drink from, it does not leak when overturned.  Furthermore you can lock out the valve for off-bike transport so that it will not leak even when accidentally squeezed.  The bottle also does not have a funny taste.

The 21 oz bottle is 8"" tall and the 24"" bottle is 9"" tall.  The 21 oz bottle fits the slant bottle cage well and just barely  fits the seat post cage.  The 24 oz bottle only fits the slant tube, and it is crowded.  You will need to check your own frame carefully.  For the bike in question, the 21 oz bottle is the best fit.  It is the largest volume bottle I could find that fits the frame and has all the great features described above.

If space is a consideration, I highly recommend these bottles.  If you have more open frame geometry, consider the insulated Podium Chill."
1078,1986,Male,42000,753.3285277679233,No,Yes,West,MT,,,,
1079,1970,Female,137000,639.3980858639424,No,Yes,South,TX,5,"06 17, 2017","Great rack, holds a ton!","Worked great and held WAY more weight than it's rated for.

After putting your bikes on this a few times you will get the hang of it pretty quick.  The first few times are a little awkward, but as with everything practice makes perfect.  I have carried 2 ~ Trek 29er mtb's with no issue on the sizing or weight.  I have also stood on the rack at 240lbs with no signs of sag or deformation."
1080,1976,Female,214000,636.6746344,Yes,Yes,South,MS,,,,
1081,1968,Other,174000,709.4299238817538,Yes,No,Midwest,WI,,,,
1082,1989,Male,96000,632.6908714483124,No,No,West,NV,,,,
1083,1992,Female,240000,631.8511209075903,No,Yes,Northeast,VT,5,"10 29, 2014",Five Stars,"Great to have, easy to clean and use."
1084,1995,Female,265000,593.2034036707998,No,Yes,West,WA,2,"02 16, 2017",I don't like it bc it is primarily white and the sweat ...,I don't like it bc it is primarily white and the sweat left a stain right away. otherwise its a cool design
1085,1972,Other,60000,754.7745048795899,Yes,No,West,WA,5,"09 12, 2016",Five Stars,"Pretty comfortable, works great and good thing is leaves no residue!"
1086,1984,Male,205000,618.2729758301905,No,Yes,West,MT,4,"04 19, 2014","Was exactly what I was looking for, and arrived fast.","Was exactly what I was looking for, and arrived fast.  And works well, and does the trick.  I just couldn't give it a better review because it is plastic Chinese and will surely break eventually."
1087,1996,Other,31000,478.48696192370426,Yes,No,West,NM,,,,
